_id,business_name,group,current_category,current_categories,current_display_categories,proposed_display_categories,source_field,source_value,exact_mapping_rule,confidence,public_search_fields_before,projected_public_search_eligibility_after,manual_review_required,why_public_or_not
"67f73dec1d08a04e139a9a9b","ALL KINDZ HAIR CARE","protected","","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""all-kindz-hair-care"",""slug"":""all-kindz-hair-care"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""ALL KINDZ HAIR CARE"",""address"":""325 E Compton Blvd, Compton, CA 90221"",""city"":""Compton"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a9c","Mirage Camille","protected","","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""mirage-camille"",""slug"":""mirage-camille"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Mirage Camille"",""address"":""Northridge, CA 91325"",""city"":""Northridge"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9a9f","Temple Beauty Supply","protected","","Cosmetics & Beauty Supply","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""temple-beauty-supply"",""slug"":""temple-beauty-supply"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Temple Beauty Supply"",""address"":""17531 S Central Ave, Ste D & E, Carson, CA 90746"",""city"":""Carson"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9aa1","Evette's Beauty Supply","protected","","Hair Extensions, Wigs, Cosmetics & Beauty Supply","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""evette-s-beauty-supply"",""slug"":""evette-s-beauty-supply"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Evette's Beauty Supply"",""address"":""1581 E Colorado Blvd, Pasadena, CA 91106"",""city"":""Pasadena"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9aa2","Jilly Does My Hair","protected","","Hair Stylists, Hair Extensions","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""jilly-does-my-hair"",""slug"":""jilly-does-my-hair"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Jilly Does My Hair"",""address"":""2149 W Manchester Blvd, Los Angeles, CA 90047"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9aa4","Blessed Beauty Supply","protected","","Cosmetics & Beauty Supply, Hair Extensions","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""blessed-beauty-supply"",""slug"":""blessed-beauty-supply"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Blessed Beauty Supply"",""address"":""413 S Central Ave, Glendale, CA 91204"",""city"":""Glendale"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9aa6","Waxing By Inez","protected","","Waxing, Day Spas","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""waxing-by-inez"",""slug"":""waxing-by-inez"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Waxing By Inez"",""address"":""1250 N La Brea, Ste 102, Los Angeles, CA 90046"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ab2","FreshCuts Barber and Beauty Salon","protected","","Barbershop","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""freshcuts-barber-and-beauty-salon"",""slug"":""freshcuts-barber-and-beauty-salon"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""FreshCuts Barber and Beauty Salon"",""address"":""3620 W Jefferson Blvd, Los Angeles, CA 90016"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ab4","Fresh Cuts Barber","protected","","Barbershop","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""fresh-cuts-barber"",""slug"":""fresh-cuts-barber"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""Fresh Cuts Barber"",""address"":""19458 Ventura Blvd, Tarzana, CA 91356"",""city"":""Tarzana"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ab5","ExecutiveCuts","protected","","Barbershop","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""executivecuts"",""slug"":""executivecuts"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""ExecutiveCuts"",""address"":""5362 W Pico Blvd, Los Angeles, CA 90019"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ab9","The Artform Studio","protected","","Hair Salons, Makeup Artists, Vinyl Records","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""the-artform-studio"",""slug"":""the-artform-studio"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""The Artform Studio"",""address"":""5611 N Figueroa St, Ste 2, Los Angeles, CA 90042"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9aba","F8DES","protected","","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""f8des"",""slug"":""f8des"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""F8DES"",""address"":""1051 Glendon Ave,, Suite 108, Los Angeles, CA 90024"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9b3d","coffee and plants","protected","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""coffee-and-plants"",""slug"":""coffee-and-plants"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""coffee and plants"",""address"":""62 W Union St Unit 2 Pasadena, CA 91103"",""city"":""Pasadena"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9c67","the court cafe","protected","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""the-court-cafe"",""slug"":""the-court-cafe"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""the court cafe"",""address"":""5496 W Centinela Ave Los Angeles, CA 90044"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9c82","time 2 grub","protected","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""time-2-grub"",""slug"":""time-2-grub"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""time 2 grub"",""address"":""1140 Commerce Center Dr Ste P11 inside Sol Plaza Boutique Mall Lancaster, CA 93534"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cb8","rubys day care los angeles","protected","","Child Care & Day Care","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""rubys-day-care-los-angeles"",""slug"":""rubys-day-care-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""rubys day care los angeles"",""address"":""Los Angeles, CA 90047"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cba","brian love photography los angeles","protected","","Session Photography","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""brian-love-photography-los-angeles"",""slug"":""brian-love-photography-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""brian love photography los angeles"",""address"":""5700 Melrose Ave Ste 204 Los Angeles, CA 90038"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cc2","linares tires and auto service los angeles","protected","","Tires","Shopping","","","","","","{""status"":""approved"",""approved"":null,""alias"":""linares-tires-and-auto-service-los-angeles"",""slug"":""linares-tires-and-auto-service-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""linares tires and auto service los angeles"",""address"":""2201 S Central Ave Los Angeles, CA 90011"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cc6","brian archie photography los angeles 2","protected","","Event Photography","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""brian-archie-photography-los-angeles-2"",""slug"":""brian-archie-photography-los-angeles-2"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""brian archie photography los angeles 2"",""address"":""Los Angeles, CA 90210"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cc7","drinks by dez los angeles","protected","","Bartenders","Nightlife","","","","","","{""status"":""approved"",""approved"":null,""alias"":""drinks-by-dez-los-angeles"",""slug"":""drinks-by-dez-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""drinks by dez los angeles"",""address"":""Los Angeles, CA 90006"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cc8","collins financial services los angeles 3","protected","","Tax Services","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""collins-financial-services-los-angeles-3"",""slug"":""collins-financial-services-los-angeles-3"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""collins financial services los angeles 3"",""address"":""4714 Crenshaw Blvd Los Angeles, CA 90043"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cca","the body shop guys los angeles 4","protected","","Body Shops","Shopping","","","","","","{""status"":""approved"",""approved"":null,""alias"":""the-body-shop-guys-los-angeles-4"",""slug"":""the-body-shop-guys-los-angeles-4"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""the body shop guys los angeles 4"",""address"":""18403 Eddy St Los Angeles, CA 91325"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ccc","love my neighbor foundation los angeles","protected","","Community Service/Non-Profit","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""love-my-neighbor-foundation-los-angeles"",""slug"":""love-my-neighbor-foundation-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""love my neighbor foundation los angeles"",""address"":""620 E 7th St Los Angeles, CA 90021"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ccd","francos electrical services los angeles","protected","","Handyman","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""francos-electrical-services-los-angeles"",""slug"":""francos-electrical-services-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""francos electrical services los angeles"",""address"":""Los Angeles, CA 91040"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cce","zinnia health and wellness medical center los angeles","protected","","Body Contouring","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""zinnia-health-and-wellness-medical-center-los-angeles"",""slug"":""zinnia-health-and-wellness-medical-center-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""zinnia health and wellness medical center los angeles"",""address"":""2917 W Vernon Ave Los Angeles, CA 90008"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cd0","pit stop carwash and auto detailing center los angeles 4","protected","","Auto Detailing","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""pit-stop-carwash-and-auto-detailing-center-los-angeles-4"",""slug"":""pit-stop-carwash-and-auto-detailing-center-los-angeles-4"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""pit stop carwash and auto detailing center los angeles 4"",""address"":""4120 W Olympic Blvd Los Angeles, CA 90019"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cd5","tooth couture tooth gems los angeles","protected","","Cosmetic Dentists","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""tooth-couture-tooth-gems-los-angeles"",""slug"":""tooth-couture-tooth-gems-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""tooth couture tooth gems los angeles"",""address"":""5593 W Manchester Ave inside Mukha Beauty Los Angeles, CA 90045"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cd8","zion home inspection los angeles 2","protected","","Home Inspectors","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""zion-home-inspection-los-angeles-2"",""slug"":""zion-home-inspection-los-angeles-2"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""zion home inspection los angeles 2"",""address"":""Los Angeles, CA 90043"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cd9","lisa brown state farm insurance agent los angeles 3","protected","","Home & Rental Insurance","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""lisa-brown-state-farm-insurance-agent-los-angeles-3"",""slug"":""lisa-brown-state-farm-insurance-agent-los-angeles-3"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""lisa brown state farm insurance agent los angeles 3"",""address"":""1247 S La Brea Ave Los Angeles, CA 90019"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ce0","scp security los angeles","protected","","Security Services","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""scp-security-los-angeles"",""slug"":""scp-security-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""scp security los angeles"",""address"":""Los Angeles, CA 91306"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ce5","make em pay los angeles","protected","","Process Servers","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""make-em-pay-los-angeles"",""slug"":""make-em-pay-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""make em pay los angeles"",""address"":""Los Angeles, CA 90078"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ce8","wilkslaw and bankruptcy advocates los angeles","protected","","Personal Injury Law","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""wilkslaw-and-bankruptcy-advocates-los-angeles"",""slug"":""wilkslaw-and-bankruptcy-advocates-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""wilkslaw and bankruptcy advocates los angeles"",""address"":""Los Angeles, CA 90008"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9ce9","psychic on fairfax los angeles 2","protected","","Psychics","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""psychic-on-fairfax-los-angeles-2"",""slug"":""psychic-on-fairfax-los-angeles-2"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""psychic on fairfax los angeles 2"",""address"":""1810 South Fairfax Los Angeles, CA 90019"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cee","cise los angeles 2","protected","","Web Design","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""cise-los-angeles-2"",""slug"":""cise-los-angeles-2"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""cise los angeles 2"",""address"":""Los Angeles, CA 90056"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cf2","express locksmith los angeles 5","protected","","Keys & Locksmiths","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""express-locksmith-los-angeles-5"",""slug"":""express-locksmith-los-angeles-5"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""express locksmith los angeles 5"",""address"":""Los Angeles, CA 90036"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9cf5","so white carpet cleaning los angeles 7","protected","","Carpet Cleaning","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""so-white-carpet-cleaning-los-angeles-7"",""slug"":""so-white-carpet-cleaning-los-angeles-7"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""so white carpet cleaning los angeles 7"",""address"":""North Hollywood Los Angeles, CA 91601"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9d00","gs retrofit los angeles","protected","","Home Inspectors","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""gs-retrofit-los-angeles"",""slug"":""gs-retrofit-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""gs retrofit los angeles"",""address"":""Los Angeles, CA 90045"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9d01","teresa mack pacific playa realty los angeles","protected","","Real Estate Agents","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""teresa-mack-pacific-playa-realty-los-angeles"",""slug"":""teresa-mack-pacific-playa-realty-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""teresa mack pacific playa realty los angeles"",""address"":""8915 S Sepulveda Blvd Los Angeles, CA 90045"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9d03","haapynow amusement los angeles","protected","","Party Equipment Rentals","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""haapynow-amusement-los-angeles"",""slug"":""haapynow-amusement-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""haapynow amusement los angeles"",""address"":""Los Angeles, CA 90032"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"67f73dec1d08a04e139a9d04","kids win entertainment los angeles","protected","","Party & Event Planning","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""kids-win-entertainment-los-angeles"",""slug"":""kids-win-entertainment-los-angeles"",""isComplete"":true,""completenessScore"":70,""qualityScore"":70,""isTest"":null,""auditTag"":null,""business_name"":""kids win entertainment los angeles"",""address"":""Los Angeles, CA 91605"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","part_of_complete_332_public_population"
"6843794b5c931273e196b582","Sublime Donuts","protected","","Bakery, Donuts, Cafe","Food & Dining","","","","","","{""status"":""approved"",""approved"":null,""alias"":""sublime-donuts-atlanta"",""slug"":null,""isComplete"":true,""completenessScore"":78,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Sublime Donuts"",""address"":""535 10th St NW, Atlanta, GA 30318"",""city"":"""",""state"":""GA""}","unchanged","false","part_of_complete_332_public_population"
"6843794b5c931273e196b58b","Tru REST Float Spa","protected","","Spa, Wellness, Float Therapy","Health & Wellness","","","","","","{""status"":""approved"",""approved"":null,""alias"":""tru-rest-float-spa-roswell"",""slug"":null,""isComplete"":true,""completenessScore"":78,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Tru REST Float Spa"",""address"":""10800 Alpharetta Hwy, Roswell, GA 30076"",""city"":"""",""state"":""GA""}","unchanged","false","part_of_complete_332_public_population"
"6843794b5c931273e196b589","The Green Room Agency","protected","","Home Staging, Interior Design","Home & Furniture","","","","","","{""status"":""approved"",""approved"":null,""alias"":""green-room-agency-atl"",""slug"":null,""isComplete"":true,""completenessScore"":78,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""The Green Room Agency"",""address"":""675 Metropolitan Pkwy SW #5054, Atlanta, GA 30310"",""city"":"""",""state"":""GA""}","unchanged","false","part_of_complete_332_public_population"
"6843794b5c931273e196b58a","HealHaus ATL","protected","","Health, Wellness, Yoga, Therapy","Health & Wellness","","","","","","{""status"":""approved"",""approved"":null,""alias"":""healhaus-atlanta"",""slug"":null,""isComplete"":true,""completenessScore"":78,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""HealHaus ATL"",""address"":""774 Virginia Ave NE, Atlanta, GA 30306"",""city"":"""",""state"":""GA""}","unchanged","false","part_of_complete_332_public_population"
