_id,business_name,group,current_category,current_categories,current_display_categories,proposed_display_categories,source_field,source_value,exact_mapping_rule,confidence,public_search_fields_before,projected_public_search_eligibility_after,manual_review_required,why_public_or_not
"67c9ead1818d604b84e5a607","Reds Flavor Table Breakfast Take Out Inglewood","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""reds-flavor-table-breakfast-take-out-inglewood"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Reds Flavor Table Breakfast Take Out Inglewood"",""address"":""254 N Market St Inglewood, CA 90301"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a46d","The Londoner By Anthony Morrison Hermosa Beach 2","remaining","Beauty","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""pending"",""approved"":null,""alias"":""the-londoner-by-anthony-morrison-hermosa-beach-2"",""slug"":""the-londoner-by-anthony-morrison-hermosa-beach-2-hermosa-beach-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""The Londoner By Anthony Morrison Hermosa Beach 2"",""address"":""1049 Aviation Blvd, Hermosa Beach, CA 90254"",""city"":""Hermosa Beach"",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4ec","","remaining","","Shopping","Shopping","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":44,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""2524 10th Ave Los Angeles, CA 90018"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a4ed","","remaining","","Shopping","Shopping","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":44,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""8950 W Olympic Blvd #293 Beverly Hills, CA 90211"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a504","Charli Beauty Bar Los Angeles","remaining","","Beauty, Grooming and Personal Care","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""charli-beauty-bar-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Charli Beauty Bar Los Angeles"",""address"":""5074 West Pico Blvd Los Angeles, CA 90019"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a565","Island Reggae Kitchen Gardena","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""island-reggae-kitchen-gardena"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Island Reggae Kitchen Gardena"",""address"":""14426 Crenshaw Blvd Gardena, CA 90249"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a580","","remaining","","Gym, Fitness Health and Wellness","Gym, Fitness Health and Wellness","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":44,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""11218 La Maida St North Hollywood, CA 91601"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a5bc","Messob Ethiopian Restaurant Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""messob-ethiopian-restaurant-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Messob Ethiopian Restaurant Los Angeles"",""address"":""1041 S Fairfax Ave Los Angeles, CA 90019"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5e4","Patria Coffee Roasters Compton 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""patria-coffee-roasters-compton-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Patria Coffee Roasters Compton 2"",""address"":""108 N Alameda St E Compton, CA 90221"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a478","Taylor Rose Hair Studio West Hollywood","remaining","Beauty","Hair Extensions, Eyelash Service, Waxing","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""taylor-rose-hair-studio-west-hollywood"",""slug"":""taylor-rose-hair-studio-west-hollywood-west-hollywood-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Taylor Rose Hair Studio West Hollywood"",""address"":""7739 1/2 Santa Monica Blvd, West Hollywood, CA 90046"",""city"":""West Hollywood"",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a480","Veenus Beauty Lounge La Habra","remaining","Beauty","Hair Salons, Makeup Artists, Eyelash Service","Beauty, Grooming and Personal Care","","","","","","{""status"":""approved"",""approved"":null,""alias"":""veenus-beauty-lounge-la-habra"",""slug"":""veenus-beauty-lounge-la-habra-la-habra-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Veenus Beauty Lounge La Habra"",""address"":""1626 W Whittier Blvd, La Habra, CA 90631"",""city"":""La Habra"",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a4a6","2Nd Healthy Eatery Bellflower","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""2nd-healthy-eatery-bellflower"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""2Nd Healthy Eatery Bellflower"",""address"":""16203 Clark Ave Ste A Bellflower, CA 90706"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4b1","Aduke Nigerian Cuisine Inglewood 3","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""aduke-nigerian-cuisine-inglewood-3"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Aduke Nigerian Cuisine Inglewood 3"",""address"":""1117 W Manchester Blvd Ste C Inglewood, CA 90301"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a50e","Chipper And Cheeky Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""chipper-and-cheeky-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Chipper And Cheeky Los Angeles"",""address"":""Los Angeles, CA 91353"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a547","Fresh And Meaty Burgers Los Angeles 4","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""fresh-and-meaty-burgers-los-angeles-4"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Fresh And Meaty Burgers Los Angeles 4"",""address"":""3016 W Florence Ave Los Angeles, CA 90043"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a55d","Hyperion Public Los Angeles 5","remaining","","Nightlife","Nightlife","","","","","","{""status"":""approved"",""approved"":null,""alias"":""hyperion-public-los-angeles-5"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Hyperion Public Los Angeles 5"",""address"":""2538 Hyperion Ave Los Angeles, CA 90027"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a569","Jaliz Cuisine Of East Africa Van Nuys 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""jaliz-cuisine-of-east-africa-van-nuys-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Jaliz Cuisine Of East Africa Van Nuys 2"",""address"":""14747 Kittridge St Van Nuys, CA 91405"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a593","Lee Esthers Creole And Cajun Cooking Palmdale","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""lee-esthers-creole-and-cajun-cooking-palmdale"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Lee Esthers Creole And Cajun Cooking Palmdale"",""address"":""830 1/2 E Ave Q6 Palmdale, CA 93550"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a639","Swift Cafe Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""swift-cafe-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Swift Cafe Los Angeles"",""address"":""4279 1/2 Crenshaw Blvd Los Angeles, CA 90008"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a63a","Sweet Red Peach Inglewood 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""sweet-red-peach-inglewood-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Sweet Red Peach Inglewood 2"",""address"":""1035 S Prairie Ave Unit 2 Inglewood, CA 90301"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a644","","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":33,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""16527 S Harris Ave Compton, CA 90221"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a472","Love Your Hair By Rachel Carter Los Angeles","remaining","Beauty","Hair Stylists, Blow Dry/Out Services","Beauty, Grooming and Personal Care","","","","","","{""status"":""pending"",""approved"":null,""alias"":""love-your-hair-by-rachel-carter-los-angeles"",""slug"":""love-your-hair-by-rachel-carter-los-angeles-los-angeles-ca"",""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Love Your Hair By Rachel Carter Los Angeles"",""address"":""3265 Fletcher Dr., Los Angeles, CA 90065"",""city"":""Los Angeles"",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a497","Render Pasadena Pasadena 2","remaining","Beauty","Barbershop","Beauty, Grooming and Personal Care","","","","","","{""status"":""pending"",""approved"":null,""alias"":""render-pasadena-pasadena-2"",""slug"":""render-pasadena-pasadena-2-pasadena-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Render Pasadena Pasadena 2"",""address"":""638 Colorado Blvd, Ste 301 1/4, Dimensions Pasadena, Pasadena, CA 91101"",""city"":""Pasadena"",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4bb","Annies Soul Delicious Los Angeles","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""annies-soul-delicious-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Annies Soul Delicious Los Angeles"",""address"":""1066 S Fairfax Ave Los Angeles, CA 90019"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4c1","Ayda Ethiopian Restaurant Loma Linda","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""ayda-ethiopian-restaurant-loma-linda"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Ayda Ethiopian Restaurant Loma Linda"",""address"":""24940 Redlands Blvd Loma Linda, CA 92354"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a552","Gloveworx Los Angeles","remaining","","Gym, Fitness Health and Wellness","Gym, Fitness Health and Wellness","","","","","","{""status"":""approved"",""approved"":null,""alias"":""gloveworx-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Gloveworx Los Angeles"",""address"":""10250 Santa Monica Blvd Los Angeles, CA 90067"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a554","Harun Coffee Los Angeles 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""harun-coffee-los-angeles-2"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Harun Coffee Los Angeles 2"",""address"":""4336 Degnan Blvd Los Angeles, CA 90008"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a5c2","Moms Haus Van Nuys","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""moms-haus-van-nuys"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Moms Haus Van Nuys"",""address"":""14062 Vanowen St Van Nuys, CA 91405"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5e0","Obet And Dels Coffee Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""obet-and-dels-coffee-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Obet And Dels Coffee Los Angeles"",""address"":""5233 Hollywood Blvd Los Angeles, CA 90027"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5e2","Park Bench Grill Altadena 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""park-bench-grill-altadena-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Park Bench Grill Altadena 2"",""address"":""2470 N Lake Ave Altadena, CA 91001"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5f3","","remaining","","Shopping","Shopping","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":44,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":""201 S Market St., Inglewood, CA 90301"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a60b","Ride On Bike Co Op Los Angeles","remaining","","Services","Services","","","","","","{""status"":""approved"",""approved"":null,""alias"":""ride-on-bike-co-op-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Ride On Bike Co Op Los Angeles"",""address"":""4319 Degnan Blvd Los Angeles, CA 90008"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a622","Royal Gourmet Cookies Long Beach","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""royal-gourmet-cookies-long-beach"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Royal Gourmet Cookies Long Beach"",""address"":""Long Beach, CA 90807"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a542","Freaky Fruit Pizza Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""freaky-fruit-pizza-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Freaky Fruit Pizza Los Angeles"",""address"":""8301 S Western Los Angeles, CA 90047"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5c0","Mo Better Burgers South Bay Hawthorne","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""mo-better-burgers-south-bay-hawthorne"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Mo Better Burgers South Bay Hawthorne"",""address"":""12734 Crenshaw Blvd Hawthorne, CA 90250"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a5ca","Natraliart Jamaican Restaurant And Market Los Angeles","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""natraliart-jamaican-restaurant-and-market-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Natraliart Jamaican Restaurant And Market Los Angeles"",""address"":""3426 W Washington Blvd Los Angeles, CA 90018"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a5f9","Pizza Of Venice Altadena 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""pizza-of-venice-altadena-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Pizza Of Venice Altadena 2"",""address"":""2545 N Fair Oaks Ave Altadena, CA 91001"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a63f","","remaining","","Shopping","Shopping","","","","","","{""status"":""pending"",""approved"":null,""alias"":null,""slug"":null,""isComplete"":false,""completenessScore"":22,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":"""",""address"":"""",""city"":"""",""state"":""""}","unchanged","false","status_not_public|missing_alias_or_slug|incomplete_listing"
"67c9ead1818d604b84e5a641","The 8Th Notch Los Angeles","remaining","","Nightlife","Nightlife","","","","","","{""status"":""pending"",""approved"":null,""alias"":""the-8th-notch-los-angeles"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""The 8Th Notch Los Angeles"",""address"":""3500 Wilshire Blvd Second Floor Los Angeles, CA 90010"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a487","Melvinas Golden Touch Inglewood 2","remaining","Beauty","Hair Salons","Beauty, Grooming and Personal Care","","","","","","{""status"":""pending"",""approved"":null,""alias"":""melvinas-golden-touch-inglewood-2"",""slug"":""melvinas-golden-touch-inglewood-2-inglewood-ca"",""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Melvinas Golden Touch Inglewood 2"",""address"":""2900 W Manchester Blvd, Inglewood, CA 90305"",""city"":""Inglewood"",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4c9","Barsha Hermosa Beach","remaining","Restaurants","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""barsha-hermosa-beach"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Barsha Hermosa Beach"",""address"":""1141 Aviation Blvd Hermosa Beach, CA 90254"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a4e4","Brandoni Pepperoni West Hollywood","remaining","","Restaurants","Restaurants","","","","","","{""status"":""approved"",""approved"":null,""alias"":""brandoni-pepperoni-west-hollywood"",""slug"":null,""isComplete"":false,""completenessScore"":67,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Brandoni Pepperoni West Hollywood"",""address"":""7100 Santa Monica Blvd West Hollywood, CA 90046"",""city"":"""",""state"":""CA""}","unchanged","false","incomplete_listing"
"67c9ead1818d604b84e5a4f1","Beyond Vegan Los Angeles 2","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""beyond-vegan-los-angeles-2"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Beyond Vegan Los Angeles 2"",""address"":""485 S Fairfax Ave Los Angeles, CA 90036"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a559","Grams Mission Bbq Riverside","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""grams-mission-bbq-riverside"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Grams Mission Bbq Riverside"",""address"":""3527 Main St Riverside, CA 92501"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
"67c9ead1818d604b84e5a564","Industry Cafe And Jazz Culver City","remaining","","Restaurants","Restaurants","","","","","","{""status"":""pending"",""approved"":null,""alias"":""industry-cafe-and-jazz-culver-city"",""slug"":null,""isComplete"":false,""completenessScore"":56,""qualityScore"":null,""isTest"":null,""auditTag"":null,""business_name"":""Industry Cafe And Jazz Culver City"",""address"":""6039 Washington Blvd Culver City, CA 90232"",""city"":"""",""state"":""CA""}","unchanged","false","status_not_public|incomplete_listing"
