change_type,file_name,repository_relative_path,relative_directory,absolute_directory_path,absolute_file_path,first_commit_since_2026_08_10,first_commit_date,last_commit_since_2026_08_10,last_commit_date,number_of_commits_touching_file,current_status,old_path,new_path,category
ADDED + UPDATED,BWE_WORLD_CLASS_DECISION_LOG.md,docs/BWE_WORLD_CLASS_DECISION_LOG.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_DECISION_LOG.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,1754ca6dbf6f0176948c3a2c7fd756a1d15200f4,2026-08-25T17:20:02-07:00,3,EXISTS,,,CONTROL RECORD
ADDED + UPDATED,BWE_WORLD_CLASS_GAP_REGISTER.md,docs/BWE_WORLD_CLASS_GAP_REGISTER.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_GAP_REGISTER.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,fc018486ec199de957519639b8b3d5beb7e9a76c,2026-08-25T16:45:58-07:00,4,EXISTS,,,CONTROL RECORD
ADDED + UPDATED,BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,docs/BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_MEASUREMENT_HISTORY.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,f3d8e33d2fd81ef929df66cc721684e2d7c8d2cb,2026-08-27T09:02:03-07:00,13,EXISTS,,,CONTROL RECORD
ADDED + UPDATED,BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,docs/BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PLATFORM_MASTER_PLAN.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,1754ca6dbf6f0176948c3a2c7fd756a1d15200f4,2026-08-25T17:20:02-07:00,3,EXISTS,,,CONTROL RECORD
ADDED + UPDATED,BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,docs/BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PLATFORM_SCORECARD.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,f3d8e33d2fd81ef929df66cc721684e2d7c8d2cb,2026-08-27T09:02:03-07:00,9,EXISTS,,,CONTROL RECORD
ADDED + UPDATED,BWE_WORLD_CLASS_PROGRAM_BOARD.md,docs/BWE_WORLD_CLASS_PROGRAM_BOARD.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/BWE_WORLD_CLASS_PROGRAM_BOARD.md,ea8f750c2533a00fd40312bfdf4dd607304a5640,2026-08-25T10:19:35-07:00,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,7,EXISTS,,,CONTROL RECORD
MODIFIED / UPDATED,CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,docs/CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/CURRENT_BUILD_ALL_WORKSTREAMS_STATUS.md,b5e98c51931657e94a48b126b6afb8c8b672ad33,2026-08-10T09:46:46-07:00,f3d8e33d2fd81ef929df66cc721684e2d7c8d2cb,2026-08-27T09:02:03-07:00,30,EXISTS,,,CONTROL RECORD
ADDED,PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,docs/PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/PAMFA_SELLER_BUSINESS_OWNER_DECISION_PACKET_2026-08-26.md,ac2405a0d246da5215ba2929275865e830a3e4e5,2026-08-26T06:36:53-07:00,ac2405a0d246da5215ba2929275865e830a3e4e5,2026-08-26T06:36:53-07:00,1,EXISTS,,,DOCUMENTATION
MODIFIED / UPDATED,BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,docs/recovery/BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,docs/recovery,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/recovery,/Users/blackforge/workspace/bwe/repos/repo_clean/docs/recovery/BWE_COMPLETE_FILE_MANIFEST_CURRENT.csv,b5e98c51931657e94a48b126b6afb8c8b672ad33,2026-08-10T09:46:46-07:00,d567218a895af81d65f45be7e16c24839815f586,2026-08-12T16:49:42-07:00,6,EXISTS,,,CONTINUITY / MEMORY
MODIFIED / UPDATED,next.config.ts,next.config.ts,.,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/next.config.ts,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,1,EXISTS,,,CONFIG
MODIFIED / UPDATED,package-lock.json,package-lock.json,.,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/package-lock.json,a05a941e9ca4e5e43200ed8d8ad6f49e146c8d7f,2026-08-14T15:24:32-07:00,b614b91112582f597ffcc9969633db263de16cd7,2026-08-14T15:33:44-07:00,9,EXISTS,,,CONFIG
MODIFIED / UPDATED,package.json,package.json,.,/Users/blackforge/workspace/bwe/repos/repo_clean,/Users/blackforge/workspace/bwe/repos/repo_clean/package.json,a05a941e9ca4e5e43200ed8d8ad6f49e146c8d7f,2026-08-14T15:24:32-07:00,b614b91112582f597ffcc9969633db263de16cd7,2026-08-14T15:33:44-07:00,7,EXISTS,,,CONFIG
ADDED,runtime-proof-da04-onboarding.mjs,scripts/runtime-proof-da04-onboarding.mjs,scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts/runtime-proof-da04-onboarding.mjs,18239e67dc2451ef99c76edbb7354745c7e6859f,2026-08-10T11:01:01-07:00,18239e67dc2451ef99c76edbb7354745c7e6859f,2026-08-10T11:01:01-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED,runtime-proof-da13-authenticated.mjs,scripts/runtime-proof-da13-authenticated.mjs,scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts/runtime-proof-da13-authenticated.mjs,1af802a483855ee6029894de27989bbac97c8cad,2026-08-10T15:18:04-07:00,1af802a483855ee6029894de27989bbac97c8cad,2026-08-10T15:18:04-07:00,1,EXISTS,,,TEST / VALIDATION
MODIFIED / UPDATED,test-business-submission-validation.mjs,scripts/test-business-submission-validation.mjs,scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts,/Users/blackforge/workspace/bwe/repos/repo_clean/scripts/test-business-submission-validation.mjs,73d7f8290f2af84eadea20e6c0d459ce71ffc1ca,2026-08-10T21:54:46-07:00,73d7f8290f2af84eadea20e6c0d459ce71ffc1ca,2026-08-10T21:54:46-07:00,1,EXISTS,,,TEST / VALIDATION
MODIFIED / UPDATED,DashboardFrame.tsx,src/components/dashboards/DashboardFrame.tsx,src/components/dashboards,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/dashboards,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/dashboards/DashboardFrame.tsx,80c971734635b57b2921a0b31918acb5868faa8d,2026-08-27T08:25:07-07:00,80c971734635b57b2921a0b31918acb5868faa8d,2026-08-27T08:25:07-07:00,1,EXISTS,,,COMPONENT
MODIFIED / UPDATED,footer.tsx,src/components/footer.tsx,src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/footer.tsx,c996a1b4d5b02b3b9dcfa65c245d234462072065,2026-08-12T11:53:52-07:00,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,2,EXISTS,,,COMPONENT
MODIFIED / UPDATED,NavBar.tsx,src/components/NavBar.tsx,src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/NavBar.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,1,EXISTS,,,COMPONENT
MODIFIED / UPDATED,SupportCategoryPage.tsx,src/components/support/SupportCategoryPage.tsx,src/components/support,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/support,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/support/SupportCategoryPage.tsx,f0110c5aaed1656458704165cfe3115fedada1df,2026-08-27T08:17:39-07:00,f0110c5aaed1656458704165cfe3115fedada1df,2026-08-27T08:17:39-07:00,1,EXISTS,,,COMPONENT
MODIFIED / UPDATED,SupportTicketEntryPage.tsx,src/components/support/SupportTicketEntryPage.tsx,src/components/support,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/support,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/support/SupportTicketEntryPage.tsx,f0110c5aaed1656458704165cfe3115fedada1df,2026-08-27T08:17:39-07:00,f0110c5aaed1656458704165cfe3115fedada1df,2026-08-27T08:17:39-07:00,1,EXISTS,,,COMPONENT
MODIFIED / UPDATED,button.tsx,src/components/ui/button.tsx,src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui/button.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,1,EXISTS,,,COMPONENT
MODIFIED / UPDATED,card.tsx,src/components/ui/card.tsx,src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui,/Users/blackforge/workspace/bwe/repos/repo_clean/src/components/ui/card.tsx,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,a5dfc666af83783ce815d81121f55bb0f674c21b,2026-08-26T07:57:45-07:00,1,EXISTS,,,COMPONENT
ADDED,instrumentation.ts,src/instrumentation.ts,src,/Users/blackforge/workspace/bwe/repos/repo_clean/src,/Users/blackforge/workspace/bwe/repos/repo_clean/src/instrumentation.ts,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,1,EXISTS,,,OTHER
ADDED,image-upload-security-tests.mjs,src/lib/__tests__/image-upload-security-tests.mjs,src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/image-upload-security-tests.mjs,ea474652aafd5583a99ca77ac00db8226c447e87,2026-08-14T21:27:25-07:00,ea474652aafd5583a99ca77ac00db8226c447e87,2026-08-14T21:27:25-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED,legacy-write-route-security-tests.mjs,src/lib/__tests__/legacy-write-route-security-tests.mjs,src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/legacy-write-route-security-tests.mjs,6cc5b8a639ffef3932ab03b87a0f3785d55f0af8,2026-08-14T15:06:26-07:00,6cc5b8a639ffef3932ab03b87a0f3785d55f0af8,2026-08-14T15:06:26-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED,sharp-runtime-defense-tests.mjs,src/lib/__tests__/sharp-runtime-defense-tests.mjs,src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/__tests__/sharp-runtime-defense-tests.mjs,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,5cec09e9d8bb77a286e6d9c4678a42406d01b512,2026-08-14T21:29:05-07:00,1,EXISTS,,,TEST / VALIDATION
MODIFIED / UPDATED,adminBusinessStatus.ts,src/lib/adminBusinessStatus.ts,src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/adminBusinessStatus.ts,73d7f8290f2af84eadea20e6c0d459ce71ffc1ca,2026-08-10T21:54:46-07:00,73d7f8290f2af84eadea20e6c0d459ce71ffc1ca,2026-08-10T21:54:46-07:00,1,EXISTS,,,LIBRARY / SERVICE
MODIFIED / UPDATED,black-card.ts,src/lib/black-card.ts,src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/black-card.ts,7322e189ff275330f6050599f91351212cfc7efb,2026-08-11T22:27:28-07:00,7322e189ff275330f6050599f91351212cfc7efb,2026-08-11T22:27:28-07:00,1,EXISTS,,,LIBRARY / SERVICE
MODIFIED / UPDATED,businessSubmission.ts,src/lib/businessSubmission.ts,src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/businessSubmission.ts,73d7f8290f2af84eadea20e6c0d459ce71ffc1ca,2026-08-10T21:54:46-07:00,c996a1b4d5b02b3b9dcfa65c245d234462072065,2026-08-12T11:53:52-07:00,2,EXISTS,,,LIBRARY / SERVICE
MODIFIED / UPDATED,createProductCheckoutSession.ts,src/lib/checkout/createProductCheckoutSession.ts,src/lib/checkout,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/checkout,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/checkout/createProductCheckoutSession.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,1,EXISTS,,,LIBRARY / SERVICE
ADDED,marketplaceBmev.ts,src/lib/economics/marketplaceBmev.ts,src/lib/economics,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/economics,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/economics/marketplaceBmev.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,1,EXISTS,,,LIBRARY / SERVICE
DELETED,firebase.ts,src/lib/firebase.ts,src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/firebase.ts,b614b91112582f597ffcc9969633db263de16cd7,2026-08-14T15:33:44-07:00,b614b91112582f597ffcc9969633db263de16cd7,2026-08-14T15:33:44-07:00,1,DELETED,,,LIBRARY / SERVICE
MODIFIED / UPDATED,founding-membership.ts,src/lib/founding-membership.ts,src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership.ts,b51f6e2a81b6f9cc5dbeea57d705f7adb0bdcec1,2026-08-10T11:08:36-07:00,c996a1b4d5b02b3b9dcfa65c245d234462072065,2026-08-12T11:53:52-07:00,7,EXISTS,,,LIBRARY / SERVICE
ADDED,claim-intake-readiness-tests.mjs,src/lib/founding-membership/__tests__/claim-intake-readiness-tests.mjs,src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__/claim-intake-readiness-tests.mjs,466b886eaaea379c36896378374c38515ae76b02,2026-08-10T14:34:41-07:00,466b886eaaea379c36896378374c38515ae76b02,2026-08-10T14:34:41-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED + UPDATED,normal-check-tests.mjs,src/lib/founding-membership/__tests__/normal-check-tests.mjs,src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__/normal-check-tests.mjs,b51f6e2a81b6f9cc5dbeea57d705f7adb0bdcec1,2026-08-10T11:08:36-07:00,fb8c11c19ecf035154ae6a48a3cc5bd87d8a2f73,2026-08-10T11:12:05-07:00,2,EXISTS,,,TEST / VALIDATION
ADDED + UPDATED,shadow-validation-tests.mjs,src/lib/founding-membership/__tests__/shadow-validation-tests.mjs,src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__/shadow-validation-tests.mjs,0dc2f9e42c29de475220eef659c839c434cef38c,2026-08-10T14:06:29-07:00,fcbc304c0c53dc4ce44d917df6da28a2b983429d,2026-08-10T14:18:26-07:00,2,EXISTS,,,TEST / VALIDATION
ADDED + UPDATED,verification-contract-tests.mjs,src/lib/founding-membership/__tests__/verification-contract-tests.mjs,src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/founding-membership/__tests__/verification-contract-tests.mjs,486b8222c95e3705d336673800e7c21c3d5dcfa3,2026-08-10T11:54:46-07:00,86545f3958572f67630baf8e795f22a5dc7a36e3,2026-08-10T13:52:28-07:00,2,EXISTS,,,TEST / VALIDATION
MODIFIED / UPDATED,package1-tests.ts,src/lib/marketplace/__tests__/package1-tests.ts,src/lib/marketplace/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/__tests__/package1-tests.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED,businessAttribution.ts,src/lib/marketplace/businessAttribution.ts,src/lib/marketplace,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/businessAttribution.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,1,EXISTS,,,LIBRARY / SERVICE
MODIFIED / UPDATED,paymentLinkage.ts,src/lib/marketplace/paymentLinkage.ts,src/lib/marketplace,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/marketplace/paymentLinkage.ts,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,665a1193d180d9c3c2bc79dda6bba8310d477416,2026-08-25T17:35:37-07:00,1,EXISTS,,,LIBRARY / SERVICE
ADDED,imageUploadValidation.ts,src/lib/security/imageUploadValidation.ts,src/lib/security,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/security,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/security/imageUploadValidation.ts,ea474652aafd5583a99ca77ac00db8226c447e87,2026-08-14T21:27:25-07:00,ea474652aafd5583a99ca77ac00db8226c447e87,2026-08-14T21:27:25-07:00,1,EXISTS,,,LIBRARY / SERVICE
ADDED,lifecycle-tests.mjs,src/lib/studentHub/__tests__/lifecycle-tests.mjs,src/lib/studentHub/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/__tests__/lifecycle-tests.mjs,a49dbc055081ffbc50c7bef50a9b8b21e2966cf7,2026-08-12T16:06:20-07:00,a49dbc055081ffbc50c7bef50a9b8b21e2966cf7,2026-08-12T16:06:20-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED,repository-tests.mjs,src/lib/studentHub/__tests__/repository-tests.mjs,src/lib/studentHub/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/__tests__,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/__tests__/repository-tests.mjs,a49dbc055081ffbc50c7bef50a9b8b21e2966cf7,2026-08-12T16:06:20-07:00,a49dbc055081ffbc50c7bef50a9b8b21e2966cf7,2026-08-12T16:06:20-07:00,1,EXISTS,,,TEST / VALIDATION
ADDED + UPDATED,catalog.ts,src/lib/studentHub/catalog.ts,src/lib/studentHub,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/catalog.ts,7845d42b64868b9c313efb79050ebaecccaf3c94,2026-08-12T12:16:56-07:00,8b3bf7e1a75cce14957622c317e0f331bf1ce358,2026-08-12T12:40:09-07:00,2,EXISTS,,,LIBRARY / SERVICE
ADDED,legacy.ts,src/lib/studentHub/legacy.ts,src/lib/studentHub,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub,/Users/blackforge/workspace/bwe/repos/repo_clean/src/lib/studentHub/legacy.ts,8b3bf7e1a75cce14957622c317e0f331bf1ce358,2026-08-12T12:40:09-07:00,8b3bf7e1a75cce14957622c317e0f331bf1ce358,2026-08-12T12:40:09-07:00,1,EXISTS,,,LIBRARY / SERVICE
